time, price, volume
2902, 3570, 17514
2903, 3569, 9614
2904, 3568, 15949
2905, 3568, 15708
2906, 3566, 14144
2907, 3565, 13514
2908, 3565, 17645
2909, 3565, 14149
2910, 3565, 17694
2911, 3564, 14150
2912, 3563, 16841
2913, 3564, 11221
2914, 3564, 16944
2915, 3563, 17960
2916, 3564, 12918
2917, 3564, 15106
2918, 3565, 11896
2919, 3565, 15188
2920, 3564, 12708
2921, 3564, 11976
2922, 3564, 17909
2923, 3565, 12673
2924, 3566, 12433
2925, 3566, 17510
2926, 3566, 15509
2927, 3566, 13390
2928, 3565, 16384
2929, 3565, 17454
2930, 3565, 19668
2931, 3566, 16440
2932, 3567, 12044
2933, 3566, 14595
2934, 3566, 16201
2935, 3566, 19852
2936, 3566, 11755
2937, 3566, 15323
2938, 3565, 15418
2939, 3565, 11868
2940, 3566, 13432
2941, 3566, 15937
2942, 3567, 12069
2943, 3566, 15267
2944, 3566, 14767
2945, 3567, 12383
2946, 3567, 17853
2947, 3566, 16680
2948, 3566, 13356
2949, 3566, 16755
2950, 3566, 16189
2951, 3566, 13766
2952, 3566, 14325
2953, 3567, 17864
2954, 3567, 17583
2955, 3567, 14881
2956, 3567, 12760
2957, 3566, 15414
2958, 3566, 16049
2959, 3566, 17799
2960, 3564, 13484
2961, 3564, 19215
2962, 3565, 10445
2963, 3565, 17762
2964, 3565, 13689
2965, 3564, 13650
2966, 3564, 14944
2967, 3564, 18626
2968, 3564, 13073
2969, 3564, 14709
2970, 3564, 19131
2971, 3564, 16173
2972, 3564, 16718
2973, 3564, 20331
2974, 3565, 13402
2975, 3566, 14861
2976, 3566, 16293
2977, 3568, 13745
2978, 3568, 13370
2979, 3568, 15129
2980, 3568, 13864
2981, 3568, 14472
2982, 3568, 13253
2983, 3568, 15611
2984, 3567, 17642
2985, 3568, 14304
2986, 3567, 12872
2987, 3568, 10900
2988, 3567, 14924
2989, 3569, 17572
2990, 3569, 17612
2991, 3569, 16844
2992, 3568, 16033
2993, 3568, 15572
2994, 3567, 12663
2995, 3566, 10821
2996, 3565, 15663
2997, 3564, 14332
2998, 3564, 14817
2999, 3563, 17652
3000, 3564, 13923
3001, 3565, 18745
3002, 3568, 16827
3003, 3568, 15676
3004, 3567, 18761
3005, 3567, 14385
3006, 3566, 19404
3007, 3565, 16203
3008, 3562, 20496
3009, 3562, 16472
3010, 3567, 21023
3011, 3567, 15811
3012, 3566, 13973
3013, 3566, 17620
3014, 3565, 13067
3015, 3566, 10906
3016, 3568, 21771
3017, 3568, 16211
3018, 3569, 19777
3019, 3569, 16943
3020, 3569, 15283
3021, 3572, 22140
3022, 3574, 20248
3023, 3574, 16607
3024, 3574, 14757
3025, 3572, 13341
3026, 3574, 19597
3027, 3576, 25588
3028, 3576, 14449
3029, 3575, 16960
3030, 3575, 12322
3031, 3574, 11760
3032, 3574, 13734
3033, 3574, 25439
3034, 3574, 17180
3035, 3573, 16034
3036, 3574, 11297
3037, 3574, 14564
3038, 3575, 14977
3039, 3575, 17469
3040, 3575, 19515
3041, 3575, 11611
3042, 3577, 27005
3043, 3578, 14188
3044, 3578, 12597
3045, 3579, 15250
3046, 3579, 12942
3047, 3576, 27050
3048, 3577, 15366
3049, 3577, 19866
3050, 3576, 12653
3051, 3576, 12985
3052, 3576, 13279
3053, 3574, 15634
3054, 3573, 16037
3055, 3573, 12098
3056, 3574, 13092
3057, 3575, 17214
3058, 3573, 15271
3059, 3573, 17565
3060, 3573, 12630
3061, 3572, 13998
3062, 3572, 20034
3063, 3573, 11986
3064, 3573, 13423
3065, 3574, 13591
3066, 3575, 12550
3067, 3575, 15105
3068, 3575, 16618
3069, 3574, 14375
3070, 3575, 17027
3071, 3575, 19986
3072, 3574, 15157
3073, 3574, 13432
3074, 3574, 15598
3075, 3574, 16312
3076, 3573, 16569
3077, 3573, 17483
3078, 3574, 14937
3079, 3574, 20483
3080, 3575, 16665
3081, 3575, 19589
3082, 3575, 16175
3083, 3575, 17045
3084, 3577, 17824
3085, 3578, 13070
3086, 3578, 13436
3087, 3578, 16562
3088, 3579, 10950
3089, 3577, 18756
3090, 3576, 15491
3091, 3576, 14576
3092, 3576, 15230
3093, 3576, 15757
3094, 3577, 14509
3095, 3576, 10918
3096, 3576, 14445
3097, 3576, 15595
3098, 3578, 17697
3099, 3578, 19358
3100, 3578, 15079
3101, 3578, 15578
3102, 3577, 14066
3103, 3577, 17279
3104, 3578, 14453
3105, 3578, 16419
3106, 3578, 15712
3107, 3578, 11311
3108, 3579, 15290
3109, 3579, 14754
3110, 3579, 15896
3111, 3579, 16567
3112, 3578, 16288
3113, 3577, 15655
3114, 3578, 13498
3115, 3578, 17974
3116, 3578, 15645
3117, 3578, 13260
3118, 3578, 14824
3119, 3577, 14346
3120, 3577, 19635
3121, 3578, 11051
3122, 3577, 16564
3123, 3576, 13205
3124, 3576, 15610
3125, 3576, 14118
3126, 3576, 13720
3127, 3576, 12859
3128, 3576, 16297
3129, 3576, 14692
3130, 3576, 17002
3131, 3576, 12319
3132, 3576, 17533
3133, 3576, 15811
3134, 3577, 17024
3135, 3577, 14894
3136, 3577, 14190
3137, 3576, 17945
3138, 3576, 16456
3139, 3576, 14462
3140, 3578, 16916
3141, 3578, 19660
3142, 3578, 15231
3143, 3577, 14404
3144, 3577, 17659
3145, 3577, 17195
3146, 3576, 15719
3147, 3577, 14625
3148, 3576, 16721
3149, 3576, 19696
3150, 3576, 17595
3151, 3576, 16639
3152, 3576, 12746
3153, 3576, 16892
3154, 3575, 15604
3155, 3576, 10487
3156, 3577, 10681
3157, 3577, 13659
3158, 3576, 18714
3159, 3576, 14741
3160, 3576, 15585
3161, 3577, 14168
3162, 3577, 10131
3163, 3575, 16239
3164, 3575, 16333
3165, 3575, 14985
3166, 3575, 13722
3167, 3575, 13750
3168, 3575, 14557
3169, 3574, 16775
3170, 3574, 16040
3171, 3573, 17594
3172, 3573, 14517
3173, 3573, 13444
3174, 3575, 18279
3175, 3575, 13350
3176, 3575, 15041
3177, 3574, 14081
3178, 3573, 15578
3179, 3573, 16037
3180, 3573, 20245
3181, 3574, 13597
3182, 3568, 17362
3183, 3569, 14397
3184, 3570, 16169
3185, 3571, 11676
3186, 3571, 13966
3187, 3570, 12222
3188, 3570, 18952
3189, 3570, 12970
3190, 3571, 14651
3191, 3571, 19646
3192, 3571, 19250
3193, 3570, 15619
3194, 3569, 16071
3195, 3568, 15893
3196, 3568, 13044
3197, 3567, 18086
3198, 3567, 17532
3199, 3568, 14416
3200, 3569, 11886
3201, 3569, 13520
3202, 3568, 15814
3203, 3569, 12791
3204, 3570, 14321
3205, 3571, 14451
3206, 3571, 13050
3207, 3572, 12380
3208, 3572, 14562
3209, 3572, 14764
3210, 3573, 17624
3211, 3573, 15197
3212, 3572, 16290
3213, 3572, 15504
3214, 3573, 13715
3215, 3572, 16838
3216, 3571, 16179
3217, 3571, 16825
3218, 3571, 13713
3219, 3571, 14855
3220, 3571, 15664
3221, 3572, 14422
3222, 3573, 16138
3223, 3572, 13926
3224, 3572, 13987
3225, 3573, 9666
3226, 3574, 14704
3227, 3574, 12900
3228, 3574, 16530
3229, 3573, 14042
3230, 3572, 16906
3231, 3572, 16274
3232, 3569, 16629
3233, 3568, 11541
3234, 3569, 13729
3235, 3572, 13894
3236, 3572, 15638
3237, 3573, 16882
3238, 3573, 15442
3239, 3573, 22214
3240, 3574, 10318
3241, 3574, 14757
3242, 3574, 13456
3243, 3574, 15582
3244, 3574, 17464
3245, 3574, 19428
3246, 3574, 14915
3247, 3575, 14473
3248, 3575, 15717
3249, 3575, 15678
3250, 3575, 20245
3251, 3575, 18606
3252, 3575, 14447
3253, 3575, 16497
3254, 3575, 15376
3255, 3574, 11439
3256, 3572, 12775
3257, 3573, 11542
3258, 3572, 14641
3259, 3572, 14571
3260, 3570, 16369
3261, 3570, 18436
3262, 3569, 14608
3263, 3567, 15759
3264, 3567, 14460
3265, 3568, 14334
3266, 3568, 17805
3267, 3567, 19125
3268, 3567, 17238
3269, 3564, 18301
3270, 3564, 16830
3271, 3565, 12988
3272, 3566, 17019
3273, 3566, 13174
3274, 3566, 19901
3275, 3566, 17430
3276, 3566, 15265
3277, 3567, 13011
3278, 3568, 9997
3279, 3566, 16091
3280, 3566, 12813
3281, 3567, 14058
3282, 3568, 14166
3283, 3567, 16795
3284, 3568, 13641
3285, 3568, 16138
3286, 3567, 14561
3287, 3568, 15645
3288, 3565, 17677
3289, 3565, 16896
3290, 3564, 14295
3291, 3566, 9446
3292, 3566, 15762
3293, 3566, 19826
3294, 3565, 14486
3295, 3565, 17037
3296, 3565, 20090
3297, 3565, 15191
3298, 3565, 17479
3299, 3566, 8139
3300, 3566, 17099
3301, 3565, 15382
3302, 3565, 16272
3303, 3566, 15280
3304, 3565, 13284
3305, 3565, 18475
3306, 3566, 12773
3307, 3567, 13047
3308, 3568, 15787
3309, 3567, 15076
3310, 3567, 18778
3311, 3566, 14422
3312, 3566, 13859
3313, 3564, 16605
3314, 3564, 16231
3315, 3563, 19280
3316, 3563, 16812
3317, 3563, 18440
3318, 3563, 11874
3319, 3564, 11595
3320, 3565, 14953
3321, 3566, 13847
3322, 3565, 12776
3323, 3567, 12433
3324, 3565, 15882
3325, 3566, 10202
3326, 3567, 10730
3327, 3567, 16742
3328, 3566, 14112
3329, 3566, 18710
3330, 3565, 16372
3331, 3565, 12867
3332, 3565, 14375
3333, 3567, 17497
3334, 3567, 17792
3335, 3568, 17642
3336, 3567, 15972
3337, 3567, 16984
3338, 3567, 15686
3339, 3569, 15066
3340, 3569, 17830
3341, 3568, 18600
3342, 3568, 19572
3343, 3568, 11828
3344, 3568, 10578
3345, 3565, 13480
3346, 3564, 15082
3347, 3564, 15733
3348, 3563, 17868
3349, 3562, 19004
3350, 3563, 12017
3351, 3563, 17754
3352, 3564, 15152
3353, 3565, 13090
3354, 3564, 16121
3355, 3564, 11763
3356, 3564, 18015
3357, 3564, 14491
3358, 3563, 16225
3359, 3563, 14256
3360, 3563, 14728
3361, 3562, 17292
3362, 3562, 15061
3363, 3561, 15315
3364, 3561, 17676
3365, 3561, 17498
3366, 3561, 13326
3367, 3561, 19601
3368, 3562, 14248
3369, 3560, 16305
3370, 3560, 16078
3371, 3560, 13958
3372, 3559, 13362
3373, 3559, 18122
3374, 3560, 16137
3375, 3559, 18528
3376, 3560, 14846
3377, 3560, 19993
3378, 3560, 14321
3379, 3560, 18450
3380, 3561, 12345
3381, 3560, 15988
3382, 3561, 14511
3383, 3562, 11159
3384, 3562, 16175
3385, 3563, 15554
3386, 3562, 15065
3387, 3562, 12084
3388, 3562, 16956
3389, 3561, 12535
3390, 3561, 15729
3391, 3559, 21211
3392, 3558, 18044
3393, 3558, 16193
3394, 3557, 17144
3395, 3557, 17577
3396, 3557, 15406
3397, 3558, 9849
3398, 3558, 15454
3399, 3559, 17424
3400, 3559, 13970
3401, 3560, 13475
3402, 3560, 12458
3403, 3559, 17767
3404, 3560, 10931
3405, 3558, 15732
3406, 3559, 10745
3407, 3559, 13431
3408, 3559, 13601
3409, 3559, 13283
3410, 3559, 14498
3411, 3560, 10212
3412, 3561, 13455
3413, 3561, 13748
3414, 3561, 17904
3415, 3560, 16685
3416, 3560, 14742
3417, 3560, 18330
3418, 3560, 19192
3419, 3560, 15766
3420, 3561, 12779
3421, 3561, 12783
3422, 3562, 15968
3423, 3563, 13268
3424, 3562, 14682
3425, 3562, 20696
3426, 3562, 17932
3427, 3562, 14700
3428, 3561, 14166
3429, 3560, 16136
3430, 3560, 14904
3431, 3559, 15880
3432, 3559, 12540
3433, 3558, 17393
3434, 3557, 12656
3435, 3557, 12111
3436, 3557, 17257
3437, 3557, 13824
3438, 3557, 11702
3439, 3557, 19825
3440, 3558, 13885
3441, 3558, 14321
3442, 3558, 18258
3443, 3558, 17541
3444, 3556, 17159
3445, 3556, 18869
3446, 3555, 14089
3447, 3556, 15567
3448, 3556, 16608
3449, 3555, 11802
3450, 3555, 13642
3451, 3555, 14831
3452, 3556, 8951
3453, 3555, 14328
3454, 3555, 18156
3455, 3554, 15831
3456, 3556, 15622
3457, 3555, 14925
3458, 3553, 17636
3459, 3553, 15925
3460, 3553, 19519
3461, 3554, 9904
3462, 3554, 17836
3463, 3554, 17720
3464, 3555, 12757
3465, 3554, 16023
3466, 3556, 14303
3467, 3557, 13032
3468, 3558, 15197
3469, 3557, 15722
3470, 3555, 14065
3471, 3553, 15177
3472, 3553, 15086
3473, 3553, 17836
3474, 3554, 11330
3475, 3553, 11671
3476, 3553, 14810
3477, 3553, 15370
3478, 3553, 18430
3479, 3551, 13586
3480, 3551, 15365
3481, 3551, 15043
3482, 3551, 16513
3483, 3551, 16093
3484, 3549, 17716
3485, 3550, 14485
3486, 3551, 10152
3487, 3551, 12478
3488, 3553, 12855
3489, 3553, 15491
3490, 3553, 14705
3491, 3553, 16731
3492, 3553, 15061
3493, 3554, 13695
3494, 3553, 16674
3495, 3553, 18054
3496, 3553, 21077
3497, 3554, 15856
3498, 3554, 15467
3499, 3556, 14580
3500, 3557, 23247
3501, 3557, 15717
3502, 3560, 20242
3503, 3560, 13330
3504, 3561, 13428
3505, 3566, 21069
3506, 3565, 14504
3507, 3565, 13707
3508, 3568, 21145
3509, 3568, 19332
3510, 3568, 16698
3511, 3572, 20725
3512, 3581, 24383
3513, 3582, 19110
3514, 3581, 14987
3515, 3590, 22851
3516, 3587, 17996
3517, 3591, 18371
